what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1477975248287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975267877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975274621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975300431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975324595
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1477975375797
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1477975375861
failed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477975380086
error,log,,,"“复制”未正常完成。请查看日志以了解更多信息。",1477975380098
error,log,,,"Argument not valid",1477975380100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975380163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975381467
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1477975383839
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1477975386873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975408724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975409011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477975410458
